index,Cinsiyet,Yaş Grubu,Medeni Durum,Eğitim Düzeyi,İstihdam Durumu,Yıllık Ortalama Gelir,Yaşadığı Şehir,En Çok İlgilendiği Ürün Grubu,Yıllık Ortalama Satın Alım Miktarı,Yıllık Ortalama Sipariş Verilen Ürün Adedi,Eğitime Devam Etme Durumu,Öbek İsmi,Yıllık Ortalama Sepete Atılan Ürün Adedi
278,Kadın,41-50,Evli,Ortaokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,161544.726463147,Büyük Şehir,Giyim,3676.92092183728,16.6993728201423,Ediyor,obek_2,50.3116559139016
279,Erkek,51-60,Evli,Lise Mezunu,Kendi İşinin Sahibi,488279.170295105,Kırsal,Spor Malzemeleri,34872.9361675596,28.399890501892,Etmiyor,obek_2,44.7723037504332
280,Kadın,18-30,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,669564.480690081,Büyük Şehir,Kozmetik,36070.8243146212,43.9584344756093,Ediyor,obek_4,93.5889016267765
281,Erkek,>60,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,205979.813705443,Küçük Şehir,Ev ve Mobilya,3454.39064076404,9.89788689698358,Ediyor,obek_5,97.4742927127071
282,Erkek,18-30,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,257605.348858194,Küçük Şehir,Ev ve Mobilya,9454.3216002965,50.7705787988473,Ediyor,obek_8,131.716491628353
283,Kadın,18-30,Bekar,Yüksekokul Mezunu,Kendi İşinin Sahibi,245052.117419089,Küçük Şehir,Kozmetik,9927.38590459556,51.1071293698208,Ediyor,obek_8,147.598703054823
284,Kadın,18-30,Bekar,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,286129.194242364,Küçük Şehir,Ev ve Mobilya,8268.01153257034,52.3923286702619,Ediyor,obek_8,187.052365685903
285,Kadın,>60,Evli,Ortaokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,127911.915712778,Köy veya Kasaba,Giyim,4212.61962654396,17.6636517376799,Etmiyor,obek_2,53.6222755018061
286,Kadın,>60,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,219005.13228737,Büyük Şehir,Kozmetik,5096.63855279884,2.77053797302895,Ediyor,obek_1,10.7287601281083
287,Erkek,18-30,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,305475.149380674,Büyük Şehir,Giyim,8482.06029640162,59.0962883937389,Ediyor,obek_8,132.594036797135
288,Erkek,41-50,Evli,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,209536.553888362,Büyük Şehir,Ev ve Mobilya,6179.79980620957,13.5507104412153,Etmiyor,obek_2,26.4720716832582
289,Erkek,41-50,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,425822.492882074,Küçük Şehir,Spor Malzemeleri,6188.18474936388,14.7801720894012,Etmiyor,obek_3,20.7298396862766
290,Erkek,>60,Evli,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,327764.05161834,Büyük Şehir,Ev ve Mobilya,6276.70743317642,15.5853270846049,Etmiyor,obek_3,18.8683033785359
291,Erkek,18-30,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,234271.024417907,Büyük Şehir,Giyim,9372.62211026569,53.0938500202208,Ediyor,obek_8,132.705107499418
292,Erkek,31-40,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,904377.060326265,Büyük Şehir,Giyim,32774.2461467832,38.4451398717445,Etmiyor,obek_4,88.1137159573116
293,Erkek,18-30,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,849245.039007734,Büyük Şehir,Elektronik ve Teknolojik Ürünler,33169.9489944022,35.4225711979181,Etmiyor,obek_4,107.370228429789
294,Kadın,31-40,Evli,Ortaokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,146485.618226865,Büyük Şehir,Ev ve Mobilya,4058.95712138389,23.4059605107345,Etmiyor,obek_2,57.2656503865108
295,Kadın,41-50,Evli,İlkokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,158381.75732668,Büyük Şehir,Spor Malzemeleri,4294.94670731788,16.4703488196332,Etmiyor,obek_2,50.0355987537562
296,Erkek,41-50,Evli,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,206738.147857112,Küçük Şehir,Ev ve Mobilya,7325.24545389329,14.900043118161,Etmiyor,obek_3,18.6688580268412
297,Erkek,51-60,Evli,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,357272.68809474,Kırsal,Elektronik ve Teknolojik Ürünler,7328.61637709998,13.8116371230306,Etmiyor,obek_3,22.0330048816945
298,Kadın,51-60,Bekar,Üniversite Mezunu,Emekli,516976.812431409,Köy veya Kasaba,Giyim,41359.9675030268,31.4205104145587,Etmiyor,obek_6,45.8459607191541
299,Erkek,31-40,Evli,Lise Mezunu,Kendi İşinin Sahibi,342863.759749063,Büyük Şehir,Elektronik ve Teknolojik Ürünler,25099.8772627392,18.7352865203191,Etmiyor,obek_7,89.9363485461122
300,Erkek,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,173656.491620043,Küçük Şehir,Spor Malzemeleri,4211.1498040814,8.29927497426248,Etmiyor,obek_5,77.498496061313
301,Kadın,31-40,Bekar,Doktora Mezunu,Düzenli ve Ücretli Bir İşi Var,365211.880451029,Küçük Şehir,Ev ve Mobilya,22519.2996407511,23.4768201873023,Etmiyor,obek_7,107.476787093404
302,Kadın,31-40,Evli,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,260760.181285646,Büyük Şehir,Giyim,4875.94411829716,6.18566650200922,Etmiyor,obek_1,8.95408405461302
303,Erkek,51-60,Bekar,Lise Mezunu,Emekli,315062.897457048,Büyük Şehir,Spor Malzemeleri,7549.60788451921,14.3165554617138,Etmiyor,obek_3,26.8446944866557
304,Kadın,>60,Bekar,Üniversite Mezunu,Emekli,471743.513184987,Küçük Şehir,Kozmetik,34862.5013090676,29.4985797905529,Etmiyor,obek_6,46.6529463536042
305,Erkek,18-30,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,274062.816499635,Küçük Şehir,Ev ve Mobilya,9469.25324553225,47.3067016285497,Ediyor,obek_8,117.742426485707
306,Kadın,31-40,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,202051.025153626,Küçük Şehir,Kozmetik,4377.46075833718,9.68267603327879,Etmiyor,obek_5,100.939944907669
307,Kadın,41-50,Bekar,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,357315.573294522,Küçük Şehir,Giyim,30228.0394191648,17.4446469614317,Etmiyor,obek_7,88.6278124675393
308,Kadın,31-40,Bekar,İlkokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,179697.068728839,Köy veya Kasaba,Kozmetik,4862.16308925498,3.94918058981847,Etmiyor,obek_1,5.27098559140746
309,Erkek,31-40,Evli,Eğitimsiz,İşsiz veya Düzenli Bir İşi Yok,222368.668304929,Köy veya Kasaba,Spor Malzemeleri,6359.41177694365,15.0684733280196,Etmiyor,obek_3,25.1223630789104
310,Kadın,51-60,Evli,Üniversite Mezunu,Emekli,502565.342542513,Köy veya Kasaba,Ev ve Mobilya,41308.8081080571,30.6125554053909,Etmiyor,obek_6,50.9819140968853
311,Erkek,18-30,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,166403.198497101,Küçük Şehir,Kozmetik,8813.62901796545,51.0300816689396,Ediyor,obek_8,111.49162429059
312,Kadın,18-30,Bekar,Yüksek Lisans Mezunu,İşsiz veya Düzenli Bir İşi Yok,713944.091453272,Büyük Şehir,Ev ve Mobilya,31773.0859789987,37.3733011904049,Etmiyor,obek_4,100.965182467474
313,Erkek,18-30,Bekar,Yüksekokul Mezunu,Kendi İşinin Sahibi,793882.08835163,Kırsal,Ev ve Mobilya,30347.8852784237,37.8509845184889,Etmiyor,obek_4,113.141684408856
314,Erkek,>60,Bekar,Üniversite Mezunu,Emekli,497070.276239229,Köy veya Kasaba,Spor Malzemeleri,39757.21621887,24.1024355179896,Etmiyor,obek_6,49.7599754531657
315,Kadın,18-30,Bekar,Yüksekokul Mezunu,Kendi İşinin Sahibi,251388.974728805,Küçük Şehir,Kozmetik,9224.81419887318,42.5855798250516,Ediyor,obek_8,121.738548973233
316,Erkek,31-40,Bekar,Lise Mezunu,Kendi İşinin Sahibi,258048.486615652,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,4402.00214141009,9.09923861483709,Etmiyor,obek_4,91.1626774845108
317,Kadın,31-40,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,189627.259933868,Köy veya Kasaba,Kozmetik,4833.52046532004,3.6611367055894,Etmiyor,obek_1,12.6789890996963
318,Kadın,>60,Bekar,Üniversite Mezunu,Emekli,499157.598252147,Kırsal,Ev ve Mobilya,39851.5698331004,34.4539165963715,Etmiyor,obek_6,59.9105263256313
319,Erkek,>60,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,230450.859723983,Küçük Şehir,Elektronik ve Teknolojik Ürünler,3954.87757902927,10.5550440469743,Etmiyor,obek_5,101.938899362952
320,Kadın,18-30,Evli,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,140407.829026618,Kırsal,Ev ve Mobilya,3855.98359235426,14.0511193864275,Etmiyor,obek_2,53.7982577545135
321,Erkek,>60,Evli,Lise Mezunu,Kendi İşinin Sahibi,268461.378189232,Köy veya Kasaba,Spor Malzemeleri,7377.76002860371,15.2336538969338,Etmiyor,obek_3,15.2336538969338
322,Kadın,18-30,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,261520.412546326,Büyük Şehir,Kozmetik,4952.43672567682,6.27466530395772,Etmiyor,obek_1,6.27466530395772
323,Kadın,18-30,Bekar,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,261994.044021261,Köy veya Kasaba,Kozmetik,4290.37924914424,11.5520508596791,Etmiyor,obek_5,97.2675705525923
324,Erkek,51-60,Bekar,Ortaokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,272690.805673828,Büyük Şehir,Giyim,5679.07184825635,2.53526534307419,Etmiyor,obek_1,9.89311779586641
325,Erkek,18-30,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,253746.267599779,Küçük Şehir,Elektronik ve Teknolojik Ürünler,9003.08680032761,39.2077122794183,Ediyor,obek_8,121.509348664057
326,Kadın,41-50,Bekar,Doktora Mezunu,Düzenli ve Ücretli Bir İşi Var,220909.545643612,Büyük Şehir,Kozmetik,5180.75696695036,4.39409362904518,Ediyor,obek_1,7.76602599132028
327,Erkek,18-30,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,228972.294021955,Küçük Şehir,Kozmetik,9444.15528587937,52.8228080640633,Ediyor,obek_8,216.129596990198
328,Kadın,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,227649.2819948,Küçük Şehir,Kozmetik,3899.63470816987,10.636002310178,Etmiyor,obek_5,86.756014638839
329,Kadın,18-30,Evli,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,844962.714615151,Büyük Şehir,Spor Malzemeleri,36386.5383613317,41.2786016283516,Etmiyor,obek_4,87.2168176168176
330,Kadın,41-50,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,336074.266091921,Küçük Şehir,Ev ve Mobilya,25022.9363317666,20.6091283584187,Etmiyor,obek_7,98.7946243310178
331,Kadın,41-50,Evli,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,350204.718082285,Küçük Şehir,Kozmetik,26749.8538932401,20.9570923320319,Etmiyor,obek_7,95.2369489716252
332,Kadın,18-30,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,254264.453767594,Büyük Şehir,Giyim,9378.20703049074,45.7997013920866,Ediyor,obek_8,111.154485861483
333,Erkek,18-30,Bekar,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,296304.105586092,Büyük Şehir,Giyim,8954.67233453419,49.259548226523,Ediyor,obek_8,159.15460788015
334,Erkek,18-30,Evli,Üniversite Mezunu,İşsiz veya Düzenli Bir İşi Yok,168082.096726873,Büyük Şehir,Ev ve Mobilya,7199.45280566172,15.9375198629405,Etmiyor,obek_3,20.5087040067959
335,Kadın,31-40,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,1101342.45695284,Büyük Şehir,Giyim,31893.7086570334,37.4230692743525,Etmiyor,obek_4,79.1169476715218
336,Erkek,18-30,Bekar,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,292735.31601421,Büyük Şehir,Giyim,8855.82816564811,48.6353380698225,Ediyor,obek_8,143.855100312338
337,Kadın,31-40,Bekar,Eğitimsiz,İşsiz veya Düzenli Bir İşi Yok,223653.420470391,Büyük Şehir,Giyim,5044.87572063086,7.96304124728756,Etmiyor,obek_1,9.94705288708464
338,Kadın,18-30,Bekar,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,297844.875609564,Büyük Şehir,Elektronik ve Teknolojik Ürünler,9642.70933821161,46.4911423717804,Ediyor,obek_8,147.321953462914
339,Kadın,18-30,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,168768.941870437,Köy veya Kasaba,Giyim,4489.53092004783,10.2181363235705,Etmiyor,obek_5,104.068568739
340,Erkek,18-30,Bekar,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,257961.623468698,Küçük Şehir,Elektronik ve Teknolojik Ürünler,9475.92359468363,39.7729137790964,Ediyor,obek_8,130.10066236376
341,Erkek,31-40,Evli,Doktora Ötesi,Düzenli ve Ücretli Bir İşi Var,192613.20239923,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,3658.49739549384,11.3731165522996,Etmiyor,obek_5,106.784686048958
342,Kadın,18-30,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,689574.690043898,Büyük Şehir,Kozmetik,39428.733424047,40.9252942440238,Etmiyor,obek_4,94.6873844094779
343,Erkek,41-50,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,474614.361075524,Köy veya Kasaba,Giyim,6033.00278299305,15.8293628296488,Etmiyor,obek_3,16.6001970516565
344,Kadın,51-60,Evli,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,333762.017459732,Büyük Şehir,Elektronik ve Teknolojik Ürünler,6880.95899586273,15.5771942299447,Etmiyor,obek_4,23.0313636634654
345,Kadın,51-60,Bekar,Üniversite Mezunu,Kendi İşinin Sahibi,487116.822404228,Kırsal,Kozmetik,39247.3408144316,28.0148378203911,Etmiyor,obek_6,53.8736000599727
346,Kadın,18-30,Evli,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,197218.939482322,Küçük Şehir,Giyim,3929.94382298286,32.6425052368776,Etmiyor,obek_2,43.6086288356441
347,Erkek,>60,Evli,Yüksek Lisans Mezunu,Kendi İşinin Sahibi,331336.596249275,Büyük Şehir,Spor Malzemeleri,25712.4807766895,19.1648070666469,Ediyor,obek_7,114.401290671303
348,Erkek,31-40,Bekar,Doktora Ötesi,Düzenli ve Ücretli Bir İşi Var,216130.213070914,Büyük Şehir,Giyim,4453.04900846065,11.0207153553455,Etmiyor,obek_4,105.28620057853
349,Kadın,18-30,Evli,Yüksekokul Mezunu,Kendi İşinin Sahibi,909745.223151224,Büyük Şehir,Giyim,31482.9626495616,35.6018944990107,Etmiyor,obek_4,92.3149328566738
350,Kadın,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,276592.42357543,Küçük Şehir,Kozmetik,4078.28289981363,8.83471584804197,Etmiyor,obek_8,94.4516689729166
351,Kadın,>60,Evli,Yüksekokul Mezunu,Kendi İşinin Sahibi,469816.947137799,Köy veya Kasaba,Giyim,40981.0174982918,29.3763245727563,Etmiyor,obek_6,51.3989441688299
352,Erkek,>60,Evli,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,493086.198425144,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,42948.9481060336,33.9893745867204,Etmiyor,obek_6,48.3530475198155
353,Kadın,>60,Evli,Eğitimsiz,İşsiz veya Düzenli Bir İşi Yok,171951.083452327,Büyük Şehir,Ev ve Mobilya,4336.36214236421,21.4744503070994,Etmiyor,obek_2,55.5407886824414
354,Erkek,41-50,Evli,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,373214.788574833,Büyük Şehir,Ev ve Mobilya,25828.3339571715,21.9096492864846,Etmiyor,obek_7,83.8590926803802
355,Erkek,18-30,Bekar,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,255306.1253442,Küçük Şehir,Kozmetik,9114.02345364942,53.3159401116871,Ediyor,obek_8,146.02595828898
356,Erkek,41-50,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,351222.197854386,Küçük Şehir,Giyim,6462.06673652784,13.9568972680223,Etmiyor,obek_3,22.0984484724581
357,Erkek,31-40,Evli,İlkokul Mezunu,Kendi İşinin Sahibi,264642.557766222,Büyük Şehir,Spor Malzemeleri,6740.79281217563,13.9692432712748,Etmiyor,obek_3,20.6764022080669
358,Kadın,18-30,Evli,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,188104.232754892,Küçük Şehir,Giyim,8850.79155475584,53.1327641272066,Ediyor,obek_8,108.22448428762
359,Erkek,31-40,Evli,Lise Mezunu,Emekli,457714.065922803,Küçük Şehir,Ev ve Mobilya,7030.94496306959,15.8216483576035,Etmiyor,obek_3,22.8604070086326
360,Kadın,31-40,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,946461.202506432,Kırsal,Kozmetik,35138.4146139513,41.5068207341786,Etmiyor,obek_4,106.442677851548
361,Erkek,41-50,Evli,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,286385.199379741,Büyük Şehir,Elektronik ve Teknolojik Ürünler,6306.58674675175,14.6411346489679,Etmiyor,obek_3,19.346745558697
362,Erkek,41-50,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,268225.172715268,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,4081.37715008315,11.9772315850719,Etmiyor,obek_5,99.4455333754518
363,Erkek,18-30,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,235286.200583314,Büyük Şehir,Elektronik ve Teknolojik Ürünler,9638.82739425538,46.3186060577156,Ediyor,obek_8,186.937787770231
364,Erkek,31-40,Bekar,Doktora Mezunu,Düzenli ve Ücretli Bir İşi Var,337673.592055401,Büyük Şehir,Elektronik ve Teknolojik Ürünler,25269.3671072663,19.3521552769863,Etmiyor,obek_7,95.0835094235471
365,Erkek,>60,Evli,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,480256.513725837,Köy veya Kasaba,Ev ve Mobilya,35963.8658500294,31.9052789149299,Etmiyor,obek_6,53.5359178133051
366,Erkek,41-50,Evli,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,487105.003048446,Köy veya Kasaba,Ev ve Mobilya,43271.9300941136,26.6422814109177,Etmiyor,obek_6,56.251985490719
367,Erkek,31-40,Evli,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,221383.229990342,Kırsal,Giyim,6036.79662482535,10.7335713303585,Etmiyor,obek_1,10.7619657864056
368,Erkek,18-30,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,244260.201691344,Küçük Şehir,Elektronik ve Teknolojik Ürünler,9483.50882038365,45.9746788777449,Ediyor,obek_8,158.975785669278
369,Erkek,41-50,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,359894.602604555,Büyük Şehir,Elektronik ve Teknolojik Ürünler,24364.9420808726,19.6370088641975,Etmiyor,obek_7,101.394282500828
370,Erkek,18-30,Bekar,Yüksek Lisans Mezunu,Kendi İşinin Sahibi,283635.861841034,Büyük Şehir,Kozmetik,9381.82318362639,46.5546347805021,Ediyor,obek_8,194.024308026032
371,Kadın,51-60,Evli,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,149469.914632976,Küçük Şehir,Giyim,3995.95815196835,24.0812694404131,Etmiyor,obek_2,67.16783847189
372,Erkek,41-50,Evli,Lise Mezunu,Kendi İşinin Sahibi,341707.689854535,Büyük Şehir,Giyim,7021.61974067543,16.13593899984,Etmiyor,obek_7,19.4649359992827
373,Kadın,31-40,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,798143.560844897,Büyük Şehir,Kozmetik,31751.001343974,37.482848545494,Etmiyor,obek_4,103.526332595709
374,Erkek,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,185297.832440546,Küçük Şehir,Spor Malzemeleri,4222.23439910927,10.3594376777372,Etmiyor,obek_5,105.017987081922
375,Erkek,18-30,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,232190.051946035,Büyük Şehir,Elektronik ve Teknolojik Ürünler,9291.46162387771,41.2384110729652,Ediyor,obek_8,161.275013609096
376,Erkek,31-40,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,861691.451959982,Büyük Şehir,Elektronik ve Teknolojik Ürünler,37012.0151051169,42.7183259884231,Etmiyor,obek_4,111.592363168083
377,Kadın,18-30,Bekar,Yüksekokul Mezunu,Kendi İşinin Sahibi,240479.023449608,Küçük Şehir,Spor Malzemeleri,9333.99474609143,50.5933967551584,Ediyor,obek_8,145.369329221609
378,Erkek,41-50,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,354880.22174038,Büyük Şehir,Elektronik ve Teknolojik Ürünler,29491.5011936524,23.2742964603181,Etmiyor,obek_2,96.5162671204222
379,Kadın,41-50,Evli,Eğitimsiz,İşsiz veya Düzenli Bir İşi Yok,134566.172128573,Küçük Şehir,Ev ve Mobilya,4536.57868061003,11.5310022586356,Etmiyor,obek_2,51.170395936865
380,Erkek,51-60,Evli,Ortaokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,185936.844199223,Küçük Şehir,Ev ve Mobilya,4579.45457962967,0,Etmiyor,obek_1,8.57652072607889
381,Kadın,51-60,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,232090.115316696,Küçük Şehir,Giyim,5754.68295245709,2.37220013610434,Etmiyor,obek_1,12.8282299774459
382,Kadın,31-40,Bekar,Eğitimsiz,İşsiz veya Düzenli Bir İşi Yok,638053.821981319,Küçük Şehir,Spor Malzemeleri,32039.038151783,40.3704617775519,Etmiyor,obek_4,93.661618139322
383,Erkek,31-40,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,150867.365799095,Büyük Şehir,Elektronik ve Teknolojik Ürünler,7772.04100135928,14.4905219099834,Etmiyor,obek_3,21.3053927736608
384,Erkek,>60,Bekar,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,224518.646749949,Küçük Şehir,Giyim,5597.83028719402,2.68023206158407,Ediyor,obek_8,7.7627684241027
385,Kadın,18-30,Bekar,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,827241.097314784,Büyük Şehir,Kozmetik,31524.0714033194,36.841523866014,Etmiyor,obek_4,102.798920966767
386,Erkek,18-30,Evli,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,222061.8113827,Büyük Şehir,Spor Malzemeleri,4192.5461440518,10.5279397421328,Etmiyor,obek_5,89.4584304941697
387,Erkek,31-40,Bekar,İlkokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,242547.047873653,Küçük Şehir,Giyim,5501.48134774146,2.96068074330583,Etmiyor,obek_1,10.7927837042464
388,Kadın,51-60,Evli,İlkokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,107160.637144501,Köy veya Kasaba,Giyim,5607.18037007259,7.98338093357564,Etmiyor,obek_1,9.00876675675869
389,Kadın,41-50,Bekar,Ortaokul Mezunu,Kendi İşinin Sahibi,159026.748980194,Büyük Şehir,Spor Malzemeleri,4426.73366029832,19.179500010037,Etmiyor,obek_2,51.1115704148451
390,Erkek,31-40,Bekar,Lise Mezunu,Kendi İşinin Sahibi,266222.285320904,Köy veya Kasaba,Spor Malzemeleri,6482.2779913857,16.5352085000928,Etmiyor,obek_3,20.7630115390821
391,Kadın,18-30,Evli,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,279986.152320025,Küçük Şehir,Giyim,9108.3765422416,49.7941994162807,Ediyor,obek_8,174.556405163248
392,Erkek,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,252186.773184744,Köy veya Kasaba,Spor Malzemeleri,3316.78593656748,11.3427492766532,Etmiyor,obek_5,90.9846554747906
393,Kadın,41-50,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,341143.440140442,Küçük Şehir,Giyim,27659.5780165052,19.1670324850231,Etmiyor,obek_7,91.3286978114529
394,Kadın,41-50,Evli,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,197004.914662308,Küçük Şehir,Giyim,6576.34277603465,4.07214044411298,Etmiyor,obek_1,8.07463082840364
395,Kadın,18-30,Evli,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,357574.655926126,Büyük Şehir,Giyim,29438.603805099,18.3114118172756,Etmiyor,obek_3,93.4907008246449
396,Erkek,41-50,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,355019.295109215,Büyük Şehir,Ev ve Mobilya,26421.4822426562,22.2415941292345,Etmiyor,obek_7,98.9884423171617
397,Kadın,51-60,Bekar,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,291987.124944139,Köy veya Kasaba,Kozmetik,5408.92310485937,0,Etmiyor,obek_1,11.479481441998
398,Kadın,51-60,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,148560.964124666,Küçük Şehir,Ev ve Mobilya,3668.94689753015,14.0383755187108,Etmiyor,obek_2,64.9711600024437
399,Erkek,>60,Evli,Doktora Mezunu,Düzenli ve Ücretli Bir İşi Var,490064.265914511,Kırsal,Ev ve Mobilya,42764.608487888,31.6402390708284,Etmiyor,obek_6,41.8784592219184
400,Erkek,18-30,Bekar,Üniversite Mezunu,Kendi İşinin Sahibi,255078.705922804,Küçük Şehir,Kozmetik,8860.02793130343,50.8257697721317,Ediyor,obek_8,114.632467056901
401,Kadın,18-30,Evli,Yüksek Lisans Mezunu,Emekli,510719.181424743,Kırsal,Giyim,36310.7051443512,30.2693232895173,Etmiyor,obek_6,57.0589364332777
402,Erkek,18-30,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,217817.452318807,Büyük Şehir,Kozmetik,9110.35722430639,53.3917327112247,Ediyor,obek_8,117.48052701705
403,Kadın,41-50,Evli,Doktora Ötesi,Emekli,478569.420795967,Köy veya Kasaba,Kozmetik,37017.5508781904,27.6390743702243,Etmiyor,obek_6,50.6319512878402
404,Kadın,41-50,Evli,Eğitimsiz,İşsiz veya Düzenli Bir İşi Yok,159019.202059804,Köy veya Kasaba,Ev ve Mobilya,4098.54505239131,22.338034462836,Etmiyor,obek_2,51.4193129231838
405,Kadın,31-40,Evli,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,306212.206751639,Küçük Şehir,Giyim,5386.46297379574,5.99549551893903,Etmiyor,obek_1,7.89960618220555
406,Kadın,18-30,Bekar,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,291897.024416077,Büyük Şehir,Kozmetik,9200.76618513722,49.0656202901107,Ediyor,obek_8,150.610295548036
